"","To","From","Airline","Distance","Duration","name","destination_long","destination_lat","origin_long","origin_lat","RouteInfo"
"24","BDL","YYZ","Air Canada",371,"01:14","Bradley International Airport",-72.6831970215,41.9388999939,-79.6248,43.6777,"<b>YYZ - BDL; Airline: Air Canada; Distance: 371; Flight Time: 01:14Hrs</b>"
"26","BGI","YYZ","Air Canada",2427,"05:21","Grantley Adams International Airport",-59.4925,13.0746,-79.6248,43.6777,"<b>YYZ - BGI; Airline: Air Canada; Distance: 2427; Flight Time: 05:21Hrs</b>"
"28","BNA","YYZ","Air Canada",640,"01:46","Nashville International Airport",-86.6781997680664,36.1245002746582,-79.6248,43.6777,"<b>YYZ - BNA; Airline: Air Canada; Distance: 640; Flight Time: 01:46Hrs</b>"
"29","BOG","YYZ","Air Canada",2712,"05:55","El Dorado International Airport",-74.1469,4.70159,-79.6248,43.6777,"<b>YYZ - BOG; Airline: Air Canada; Distance: 2712; Flight Time: 05:55Hrs</b>"
"31","BOS","YYZ","Air Canada",444,"01:23","General Edward Lawrence Logan International Airport",-71.00520325,42.36429977,-79.6248,43.6777,"<b>YYZ - BOS; Airline: Air Canada; Distance: 444; Flight Time: 01:23Hrs</b>"
"33","BRU","YYZ","Jet Airways",3753,"08:00","Brussels Airport",4.48443984985,50.9014015198,-79.6248,43.6777,"<b>YYZ - BRU; Airline: Jet Airways; Distance: 3753; Flight Time: 08:00Hrs</b>"
"35","BWI","YYZ","Air Canada",346,"01:11","Baltimore/Washington International Thurgood Marshall Airport",-76.668297,39.1754,-79.6248,43.6777,"<b>YYZ - BWI; Airline: Air Canada; Distance: 346; Flight Time: 01:11Hrs</b>"
"36","CAI","YYZ","Egyptair",5730,"11:57","Cairo International Airport",31.4055995941162,30.1219005584717,-79.6248,43.6777,"<b>YYZ - CAI; Airline: Egyptair; Distance: 5730; Flight Time: 11:57Hrs</b>"
"37","CCC","YYZ","Air Canada",1466,"03:25","Jardines Del Rey Airport",-78.3283996582,22.4610004425,-79.6248,43.6777,"<b>YYZ - CCC; Airline: Air Canada; Distance: 1466; Flight Time: 03:25Hrs</b>"
"39","CDG","YYZ","Air Canada",3738,"07:58","Charles de Gaulle International Airport",2.55,49.012798,-79.6248,43.6777,"<b>YYZ - CDG; Airline: Air Canada; Distance: 3738; Flight Time: 07:58Hrs</b>"
"45","CLE","YYZ","Air Canada",192,"00:53","Cleveland Hopkins International Airport",-81.8498001099,41.4117012024,-79.6248,43.6777,"<b>YYZ - CLE; Airline: Air Canada; Distance: 192; Flight Time: 00:53Hrs</b>"
"47","CLT","YYZ","American Airlines",588,"01:40","Charlotte Douglas International Airport",-80.9430999755859,35.2140007019043,-79.6248,43.6777,"<b>YYZ - CLT; Airline: American Airlines; Distance: 588; Flight Time: 01:40Hrs</b>"
"50","CMH","YYZ","Air Canada",304,"01:06","John Glenn Columbus International Airport",-82.891899,39.998001,-79.6248,43.6777,"<b>YYZ - CMH; Airline: Air Canada; Distance: 304; Flight Time: 01:06Hrs</b>"
"52","CMW","YYZ","Cubana de Aviación",1540,"03:34","Ignacio Agramonte International Airport",-77.8475036621094,21.4202995300293,-79.6248,43.6777,"<b>YYZ - CMW; Airline: Cubana de Aviación; Distance: 1540; Flight Time: 03:34Hrs</b>"
"53","CPH","YYZ","Air Canada",3893,"08:17","Copenhagen Kastrup Airport",12.656000137329,55.617900848389,-79.6248,43.6777,"<b>YYZ - CPH; Airline: Air Canada; Distance: 3893; Flight Time: 08:17Hrs</b>"
"56","CUN","YYZ","Air Canada",1617,"03:44","Cancún International Airport",-86.8770980835,21.0365009308,-79.6248,43.6777,"<b>YYZ - CUN; Airline: Air Canada; Distance: 1617; Flight Time: 03:44Hrs</b>"
"59","CVG","YYZ","Air Canada",412,"01:19","Cincinnati Northern Kentucky International Airport",-84.6678009033,39.0488014221,-79.6248,43.6777,"<b>YYZ - CVG; Airline: Air Canada; Distance: 412; Flight Time: 01:19Hrs</b>"
"62","DCA","YYZ","American Airlines",359,"01:13","Ronald Reagan Washington National Airport",-77.037697,38.8521,-79.6248,43.6777,"<b>YYZ - DCA; Airline: American Airlines; Distance: 359; Flight Time: 01:13Hrs</b>"
"65","DEN","YYZ","Air Canada",1311,"03:07","Denver International Airport",-104.672996521,39.861698150635,-79.6248,43.6777,"<b>YYZ - DEN; Airline: Air Canada; Distance: 1311; Flight Time: 03:07Hrs</b>"
"67","DFW","YYZ","American Airlines",1197,"02:53","Dallas Fort Worth International Airport",-97.038002,32.896801,-79.6248,43.6777,"<b>YYZ - DFW; Airline: American Airlines; Distance: 1197; Flight Time: 02:53Hrs</b>"
"72","DTW","YYZ","Air Canada",213,"00:55","Detroit Metropolitan Wayne County Airport",-83.353401184082,42.2123985290527,-79.6248,43.6777,"<b>YYZ - DTW; Airline: Air Canada; Distance: 213; Flight Time: 00:55Hrs</b>"
"77","DUB","YYZ","Air Canada",3267,"07:02","Dublin Airport",-6.27007,53.421299,-79.6248,43.6777,"<b>YYZ - DUB; Airline: Air Canada; Distance: 3267; Flight Time: 07:02Hrs</b>"
"80","DXB","YYZ","Emirates",6882,"14:15","Dubai International Airport",55.3643989563,25.2527999878,-79.6248,43.6777,"<b>YYZ - DXB; Airline: Emirates; Distance: 6882; Flight Time: 14:15Hrs</b>"
"81","EWR","YYZ","Air Canada",347,"01:11","Newark Liberty International Airport",-74.168701171875,40.6925010681152,-79.6248,43.6777,"<b>YYZ - EWR; Airline: Air Canada; Distance: 347; Flight Time: 01:11Hrs</b>"
"83","FCO","YYZ","Air Canada",4400,"09:18","Leonardo da Vinci–Fiumicino Airport",12.2388889,41.8002778,-79.6248,43.6777,"<b>YYZ - FCO; Airline: Air Canada; Distance: 4400; Flight Time: 09:18Hrs</b>"
"88","FLL","YYZ","Air Canada",1216,"02:55","Fort Lauderdale Hollywood International Airport",-80.152702,26.072599,-79.6248,43.6777,"<b>YYZ - FLL; Airline: Air Canada; Distance: 1216; Flight Time: 02:55Hrs</b>"
"92","FRA","YYZ","Air Canada",3939,"08:22","Frankfurt am Main Airport",8.570556,50.033333,-79.6248,43.6777,"<b>YYZ - FRA; Airline: Air Canada; Distance: 3939; Flight Time: 08:22Hrs</b>"
"94","GCM","YYZ","Air Canada",1686,"03:52","Owen Roberts International Airport",-81.3576965332,19.2928009033,-79.6248,43.6777,"<b>YYZ - GCM; Airline: Air Canada; Distance: 1686; Flight Time: 03:52Hrs</b>"
"96","GEO","YYZ","Caribbean Airlines",2875,"06:15","Cheddi Jagan International Airport",-58.2541007995605,6.4985499382019,-79.6248,43.6777,"<b>YYZ - GEO; Airline: Caribbean Airlines; Distance: 2875; Flight Time: 06:15Hrs</b>"
"98","GGT","YYZ","Air Canada",1405,"03:18","Exuma International Airport",-75.8779983521,23.5625991821,-79.6248,43.6777,"<b>YYZ - GGT; Airline: Air Canada; Distance: 1405; Flight Time: 03:18Hrs</b>"
"99","GLA","YYZ","Air Transat",3281,"07:03","Glasgow International Airport",-4.43306,55.871899,-79.6248,43.6777,"<b>YYZ - GLA; Airline: Air Transat; Distance: 3281; Flight Time: 07:03Hrs</b>"
"100","GND","YYZ","Air Canada",2431,"05:21","Point Salines International Airport",-61.7862014770508,12.0041999816895,-79.6248,43.6777,"<b>YYZ - GND; Airline: Air Canada; Distance: 2431; Flight Time: 05:21Hrs</b>"
"102","GRU","YYZ","Air Canada",5088,"10:40","Guarulhos - Governador André Franco Montoro International Airport",-46.4730567932129,-23.4355564117432,-79.6248,43.6777,"<b>YYZ - GRU; Airline: Air Canada; Distance: 5088; Flight Time: 10:40Hrs</b>"
"104","HAV","YYZ","Air Canada",1437,"03:22","José Martí International Airport",-82.4091033935547,22.989200592041,-79.6248,43.6777,"<b>YYZ - HAV; Airline: Air Canada; Distance: 1437; Flight Time: 03:22Hrs</b>"
"105","HKG","YYZ","Air Canada",7792,"16:05","Hong Kong International Airport Kai Tak",114.198074341,22.3203040432,-79.6248,43.6777,"<b>YYZ - HKG; Airline: Air Canada; Distance: 7792; Flight Time: 16:05Hrs</b>"
"109","HOG","YYZ","Air Canada",1592,"03:41","Frank Pais International Airport",-76.3151016235352,20.7856006622314,-79.6248,43.6777,"<b>YYZ - HOG; Airline: Air Canada; Distance: 1592; Flight Time: 03:41Hrs</b>"
"111","IAD","YYZ","Air Canada",345,"01:11","Washington Dulles International Airport",-77.45580292,38.94449997,-79.6248,43.6777,"<b>YYZ - IAD; Airline: Air Canada; Distance: 345; Flight Time: 01:11Hrs</b>"
"113","IAH","YYZ","Air Canada",1279,"03:03","George Bush Intercontinental Houston Airport",-95.3414001464844,29.9843997955322,-79.6248,43.6777,"<b>YYZ - IAH; Airline: Air Canada; Distance: 1279; Flight Time: 03:03Hrs</b>"
"115","ICN","YYZ","Korean Air",6593,"13:41","Incheon International Airport",126.450996398926,37.4691009521484,-79.6248,43.6777,"<b>YYZ - ICN; Airline: Korean Air; Distance: 6593; Flight Time: 13:41Hrs</b>"
"116","IND","YYZ","Air Canada",438,"01:22","Indianapolis International Airport",-86.294403,39.7173,-79.6248,43.6777,"<b>YYZ - IND; Airline: Air Canada; Distance: 438; Flight Time: 01:22Hrs</b>"
"117","ISL","YYZ","Air Canada",5091,"10:40","Atatürk International Airport",28.8146,40.976898,-79.6248,43.6777,"<b>YYZ - ISL; Airline: Air Canada; Distance: 5091; Flight Time: 10:40Hrs</b>"
"119","JED","YYZ","Saudi Arabian Airlines",6486,"13:28","King Abdulaziz International Airport",39.156502,21.6796,-79.6248,43.6777,"<b>YYZ - JED; Airline: Saudi Arabian Airlines; Distance: 6486; Flight Time: 13:28Hrs</b>"
"120","JFK","YYZ","American Airlines",365,"01:13","John F Kennedy International Airport",-73.77890015,40.63980103,-79.6248,43.6777,"<b>YYZ - JFK; Airline: American Airlines; Distance: 365; Flight Time: 01:13Hrs</b>"
"126","KEF","YYZ","Icelandair",2590,"05:40","Keflavik International Airport",-22.605600357056,63.985000610352,-79.6248,43.6777,"<b>YYZ - KEF; Airline: Icelandair; Distance: 2590; Flight Time: 05:40Hrs</b>"
"127","KHI","YYZ","Pakistan International Airlines",7247,"14:59","Jinnah International Airport",67.160797,24.9065,-79.6248,43.6777,"<b>YYZ - KHI; Airline: Pakistan International Airlines; Distance: 7247; Flight Time: 14:59Hrs</b>"
"128","KIN","YYZ","Air Canada",1785,"04:04","Norman Manley International Airport",-76.7874984741211,17.9356994628906,-79.6248,43.6777,"<b>YYZ - KIN; Airline: Air Canada; Distance: 1785; Flight Time: 04:04Hrs</b>"
"132","LAS","YYZ","American Airlines",1937,"04:22","McCarran International Airport",-115.1520004,36.08010101,-79.6248,43.6777,"<b>YYZ - LAS; Airline: American Airlines; Distance: 1937; Flight Time: 04:22Hrs</b>"
"136","LAX","YYZ","American Airlines",2169,"04:50","Los Angeles International Airport",-118.4079971,33.94250107,-79.6248,43.6777,"<b>YYZ - LAX; Airline: American Airlines; Distance: 2169; Flight Time: 04:50Hrs</b>"
"141","LGA","YYZ","American Airlines",355,"01:12","La Guardia Airport",-73.87259674,40.77719879,-79.6248,43.6777,"<b>YYZ - LGA; Airline: American Airlines; Distance: 355; Flight Time: 01:12Hrs</b>"
"147","LGW","YYZ","Air Transat",3564,"07:37","London Gatwick Airport",-0.190278,51.148102,-79.6248,43.6777,"<b>YYZ - LGW; Airline: Air Transat; Distance: 3564; Flight Time: 07:37Hrs</b>"
"148","LHE","YYZ","Pakistan International Airlines",6984,"14:28","Alama Iqbal International Airport",74.4036026000977,31.5216007232666,-79.6248,43.6777,"<b>YYZ - LHE; Airline: Pakistan International Airlines; Distance: 6984; Flight Time: 14:28Hrs</b>"
"149","LHR","YYZ","American Airlines",3544,"07:35","London Heathrow Airport",-0.461941,51.4706,-79.6248,43.6777,"<b>YYZ - LHR; Airline: American Airlines; Distance: 3544; Flight Time: 07:35Hrs</b>"
"155","LIM","YYZ","Air Canada",3849,"08:11","Jorge Chávez International Airport",-77.114305,-12.0219,-79.6248,43.6777,"<b>YYZ - LIM; Airline: Air Canada; Distance: 3849; Flight Time: 08:11Hrs</b>"
"156","LIR","YYZ","Air Canada",2311,"05:07","Daniel Oduber Quiros International Airport",-85.544403,10.5933,-79.6248,43.6777,"<b>YYZ - LIR; Airline: Air Canada; Distance: 2311; Flight Time: 05:07Hrs</b>"
"158","LIS","YYZ","SATA International",3564,"07:37","Humberto Delgado Airport (Lisbon Portela Airport)",-9.13592,38.7813,-79.6248,43.6777,"<b>YYZ - LIS; Airline: SATA International; Distance: 3564; Flight Time: 07:37Hrs</b>"
"161","MAN","YYZ","Air Transat",3422,"07:20","Manchester Airport",-2.27495002746582,53.3536987304688,-79.6248,43.6777,"<b>YYZ - MAN; Airline: Air Transat; Distance: 3422; Flight Time: 07:20Hrs</b>"
"162","MBJ","YYZ","Air Canada",1741,"03:58","Sangster International Airport",-77.9133987426758,18.5037002563477,-79.6248,43.6777,"<b>YYZ - MBJ; Airline: Air Canada; Distance: 1741; Flight Time: 03:58Hrs</b>"
"165","MCI","YYZ","Air Canada",835,"02:10","Kansas City International Airport",-94.713898,39.2976,-79.6248,43.6777,"<b>YYZ - MCI; Airline: Air Canada; Distance: 835; Flight Time: 02:10Hrs</b>"
"166","MCO","YYZ","American Airlines",1057,"02:36","Orlando International Airport",-81.3089981079102,28.4293994903564,-79.6248,43.6777,"<b>YYZ - MCO; Airline: American Airlines; Distance: 1057; Flight Time: 02:36Hrs</b>"
"171","MDT","YYZ","Air Canada",282,"01:03","Harrisburg International Airport",-76.7633972168,40.1935005188,-79.6248,43.6777,"<b>YYZ - MDT; Airline: Air Canada; Distance: 282; Flight Time: 01:03Hrs</b>"
"172","MEX","YYZ","Air Canada",2016,"04:31","Licenciado Benito Juarez International Airport",-99.072098,19.4363,-79.6248,43.6777,"<b>YYZ - MEX; Airline: Air Canada; Distance: 2016; Flight Time: 04:31Hrs</b>"
"174","MIA","YYZ","American Airlines",1235,"02:58","Miami International Airport",-80.2906036376953,25.7931995391846,-79.6248,43.6777,"<b>YYZ - MIA; Airline: American Airlines; Distance: 1235; Flight Time: 02:58Hrs</b>"
"178","MKE","YYZ","Air Canada",418,"01:20","General Mitchell International Airport",-87.896598815918,42.9472007751465,-79.6248,43.6777,"<b>YYZ - MKE; Airline: Air Canada; Distance: 418; Flight Time: 01:20Hrs</b>"
"179","MSP","YYZ","Air Canada",676,"01:51","Minneapolis-St Paul International/Wold-Chamberlain Airport",-93.221802,44.882,-79.6248,43.6777,"<b>YYZ - MSP; Airline: Air Canada; Distance: 676; Flight Time: 01:51Hrs</b>"
"183","MSY","YYZ","Air Canada",1110,"02:43","Louis Armstrong New Orleans International Airport",-90.2580032348633,29.9934005737305,-79.6248,43.6777,"<b>YYZ - MSY; Airline: Air Canada; Distance: 1110; Flight Time: 02:43Hrs</b>"
"185","MUC","YYZ","Air Canada",4124,"08:44","Munich Airport",11.7861,48.353802,-79.6248,43.6777,"<b>YYZ - MUC; Airline: Air Canada; Distance: 4124; Flight Time: 08:44Hrs</b>"
"189","MYR","YYZ","WestJet",691,"01:52","Myrtle Beach International Airport",-78.9282989502,33.6796989441,-79.6248,43.6777,"<b>YYZ - MYR; Airline: WestJet; Distance: 691; Flight Time: 01:52Hrs</b>"
"190","NAS","YYZ","Air Canada",1292,"03:05","Lynden Pindling International Airport",-77.466202,25.039,-79.6248,43.6777,"<b>YYZ - NAS; Airline: Air Canada; Distance: 1292; Flight Time: 03:05Hrs</b>"
"192","NRT","YYZ","Air Canada",6396,"13:17","Narita International Airport",140.386001587,35.7647018433,-79.6248,43.6777,"<b>YYZ - NRT; Airline: Air Canada; Distance: 6396; Flight Time: 13:17Hrs</b>"
"194","OPO","YYZ","SATA International",3503,"07:30","Francisco de Sá Carneiro Airport",-8.68138980865,41.2481002808,-79.6248,43.6777,"<b>YYZ - OPO; Airline: SATA International; Distance: 3503; Flight Time: 07:30Hrs</b>"
"197","ORD","YYZ","American Airlines",434,"01:22","Chicago O'Hare International Airport",-87.9048,41.9786,-79.6248,43.6777,"<b>YYZ - ORD; Airline: American Airlines; Distance: 434; Flight Time: 01:22Hrs</b>"
"203","PDL","YYZ","SATA International",2802,"06:06","João Paulo II Airport",-25.6979007721,37.7411994934,-79.6248,43.6777,"<b>YYZ - PDL; Airline: SATA International; Distance: 2802; Flight Time: 06:06Hrs</b>"
"205","PEK","YYZ","Air Canada",6558,"13:36","Beijing Capital International Airport",116.584999084473,40.0801010131836,-79.6248,43.6777,"<b>YYZ - PEK; Airline: Air Canada; Distance: 6558; Flight Time: 13:36Hrs</b>"
"208","PHL","YYZ","American Airlines",346,"01:11","Philadelphia International Airport",-75.241096496582,39.871898651123,-79.6248,43.6777,"<b>YYZ - PHL; Airline: American Airlines; Distance: 346; Flight Time: 01:11Hrs</b>"
"212","PHX","YYZ","Air Canada",1871,"04:14","Phoenix Sky Harbor International Airport",-112.012001037598,33.4342994689941,-79.6248,43.6777,"<b>YYZ - PHX; Airline: Air Canada; Distance: 1871; Flight Time: 04:14Hrs</b>"
"213","PIT","YYZ","Air Canada",222,"00:56","Pittsburgh International Airport",-80.23290253,40.49150085,-79.6248,43.6777,"<b>YYZ - PIT; Airline: Air Canada; Distance: 222; Flight Time: 00:56Hrs</b>"
"215","PLS","YYZ","Air Canada",1570,"03:38","Providenciales Airport",-72.2658996582031,21.7735996246338,-79.6248,43.6777,"<b>YYZ - PLS; Airline: Air Canada; Distance: 1570; Flight Time: 03:38Hrs</b>"
"217","POP","YYZ","Air Canada",1732,"03:57","Gregorio Luperon International Airport",-70.5699996948242,19.7579002380371,-79.6248,43.6777,"<b>YYZ - POP; Airline: Air Canada; Distance: 1732; Flight Time: 03:57Hrs</b>"
"219","POS","YYZ","Caribbean Airlines",2533,"05:33","Piarco International Airport",-61.3372001647949,10.5953998565674,-79.6248,43.6777,"<b>YYZ - POS; Airline: Caribbean Airlines; Distance: 2533; Flight Time: 05:33Hrs</b>"
"221","PTY","YYZ","Copa Airlines",2389,"05:16","Tocumen International Airport",-79.3834991455,9.0713596344,-79.6248,43.6777,"<b>YYZ - PTY; Airline: Copa Airlines; Distance: 2389; Flight Time: 05:16Hrs</b>"
"222","PUJ","YYZ","Air Canada",1853,"04:12","Punta Cana International Airport",-68.3634033203,18.5673999786,-79.6248,43.6777,"<b>YYZ - PUJ; Airline: Air Canada; Distance: 1853; Flight Time: 04:12Hrs</b>"
"225","PVG","YYZ","Air Canada",7088,"14:40","Shanghai Pudong International Airport",121.805000305176,31.1434001922607,-79.6248,43.6777,"<b>YYZ - PVG; Airline: Air Canada; Distance: 7088; Flight Time: 14:40Hrs</b>"
"227","RDU","YYZ","Air Canada",540,"01:34","Raleigh Durham International Airport",-78.7874984741211,35.8776016235352,-79.6248,43.6777,"<b>YYZ - RDU; Airline: Air Canada; Distance: 540; Flight Time: 01:34Hrs</b>"
"228","ROC","YYZ","Air Canada",105,"00:42","Greater Rochester International Airport",-77.6724014282227,43.1189002990723,-79.6248,43.6777,"<b>YYZ - ROC; Airline: Air Canada; Distance: 105; Flight Time: 00:42Hrs</b>"
"229","RSW","YYZ","Air Canada",1189,"02:52","Southwest Florida International Airport",-81.7552032470703,26.5361995697021,-79.6248,43.6777,"<b>YYZ - RSW; Airline: Air Canada; Distance: 1189; Flight Time: 02:52Hrs</b>"
"231","SAL","YYZ","Avianca - Aerovias Nacionales de Colombia",2161,"04:49","Monseñor Óscar Arnulfo Romero International Airport",-89.055702,13.4409,-79.6248,43.6777,"<b>YYZ - SAL; Airline: Avianca - Aerovias Nacionales de Colombia; Distance: 2161; Flight Time: 04:49Hrs</b>"
"232","SAN","YYZ","Air Canada",2151,"04:48","San Diego International Airport",-117.190002441,32.7336006165,-79.6248,43.6777,"<b>YYZ - SAN; Airline: Air Canada; Distance: 2151; Flight Time: 04:48Hrs</b>"
"233","SCL","YYZ","Air Canada",5351,"11:12","Comodoro Arturo Merino Benítez International Airport",-70.7857971191406,-33.3930015563965,-79.6248,43.6777,"<b>YYZ - SCL; Airline: Air Canada; Distance: 5351; Flight Time: 11:12Hrs</b>"
"234","SEA","YYZ","Air Canada",2053,"04:36","Seattle Tacoma International Airport",-122.308998,47.449001,-79.6248,43.6777,"<b>YYZ - SEA; Airline: Air Canada; Distance: 2053; Flight Time: 04:36Hrs</b>"
"235","SFO","YYZ","Air Canada",2252,"05:00","San Francisco International Airport",-122.375,37.6189994812012,-79.6248,43.6777,"<b>YYZ - SFO; Airline: Air Canada; Distance: 2252; Flight Time: 05:00Hrs</b>"
"237","SJO","YYZ","Air Canada",2342,"05:11","Juan Santamaria International Airport",-84.2088012695312,9.99386024475098,-79.6248,43.6777,"<b>YYZ - SJO; Airline: Air Canada; Distance: 2342; Flight Time: 05:11Hrs</b>"
"238","SJU","YYZ","WestJet",1914,"04:19","Luis Munoz Marin International Airport",-66.0018005371,18.4393997192,-79.6248,43.6777,"<b>YYZ - SJU; Airline: WestJet; Distance: 1914; Flight Time: 04:19Hrs</b>"
"239","SNU","YYZ","Air Canada",1463,"03:25","Abel Santamaria Airport",-79.943603515625,22.4922008514404,-79.6248,43.6777,"<b>YYZ - SNU; Airline: Air Canada; Distance: 1463; Flight Time: 03:25Hrs</b>"
"243","STL","YYZ","Air Canada",652,"01:48","St Louis Lambert International Airport",-90.370003,38.748697,-79.6248,43.6777,"<b>YYZ - STL; Airline: Air Canada; Distance: 652; Flight Time: 01:48Hrs</b>"
"245","SVO","YYZ","Aeroflot Russian Airlines",4636,"09:46","Sheremetyevo International Airport",37.4146,55.972599,-79.6248,43.6777,"<b>YYZ - SVO; Airline: Aeroflot Russian Airlines; Distance: 4636; Flight Time: 09:46Hrs</b>"
"246","SXM","YYZ","WestJet",2014,"04:31","Princess Juliana International Airport",-63.1088981628,18.0410003662,-79.6248,43.6777,"<b>YYZ - SXM; Airline: WestJet; Distance: 2014; Flight Time: 04:31Hrs</b>"
"247","SYR","YYZ","Air Canada",181,"00:51","Syracuse Hancock International Airport",-76.1063003540039,43.111198425293,-79.6248,43.6777,"<b>YYZ - SYR; Airline: Air Canada; Distance: 181; Flight Time: 00:51Hrs</b>"
"248","TLV","YYZ","Air Canada",5772,"12:02","Ben Gurion International Airport",34.8866996765137,32.0113983154297,-79.6248,43.6777,"<b>YYZ - TLV; Airline: Air Canada; Distance: 5772; Flight Time: 12:02Hrs</b>"
"250","TPA","YYZ","Air Canada",1096,"02:41","Tampa International Airport",-82.533203125,27.9755001068115,-79.6248,43.6777,"<b>YYZ - TPA; Airline: Air Canada; Distance: 1096; Flight Time: 02:41Hrs</b>"
"252","TPE","YYZ","EVA Air",7501,"15:30","Taiwan Taoyuan International Airport",121.233002,25.0777,-79.6248,43.6777,"<b>YYZ - TPE; Airline: EVA Air; Distance: 7501; Flight Time: 15:30Hrs</b>"
"253","UVF","YYZ","Air Canada",2344,"05:11","Hewanorra International Airport",-60.952599,13.7332,-79.6248,43.6777,"<b>YYZ - UVF; Airline: Air Canada; Distance: 2344; Flight Time: 05:11Hrs</b>"
"255","VCE","YYZ","Air Transat",4256,"09:00","Venice Marco Polo Airport",12.3519,45.505299,-79.6248,43.6777,"<b>YYZ - VCE; Airline: Air Transat; Distance: 4256; Flight Time: 09:00Hrs</b>"
"256","VIE","YYZ","Air Canada",4315,"09:07","Vienna International Airport",16.569700241089,48.110298156738,-79.6248,43.6777,"<b>YYZ - VIE; Airline: Air Canada; Distance: 4315; Flight Time: 09:07Hrs</b>"
"259","VKO","YYZ","Transaero Airlines",4651,"09:48","Vnukovo International Airport",37.2615013123,55.5914993286,-79.6248,43.6777,"<b>YYZ - VKO; Airline: Transaero Airlines; Distance: 4651; Flight Time: 09:48Hrs</b>"
"260","VRA","YYZ","Air Canada",1429,"03:21","Juan Gualberto Gomez International Airport",-81.435302734375,23.0344009399414,-79.6248,43.6777,"<b>YYZ - VRA; Airline: Air Canada; Distance: 1429; Flight Time: 03:21Hrs</b>"
"263","WAW","YYZ","Air Canada",4306,"09:06","Warsaw Chopin Airport",20.9671001434,52.1656990051,-79.6248,43.6777,"<b>YYZ - WAW; Airline: Air Canada; Distance: 4306; Flight Time: 09:06Hrs</b>"
"265","YAM","YYZ","Air Canada",306,"01:06","Sault Ste Marie Airport",-84.509399,46.485001,-79.6248,43.6777,"<b>YYZ - YAM; Airline: Air Canada; Distance: 306; Flight Time: 01:06Hrs</b>"
"266","YDF","YYZ","Air Canada",1120,"02:44","Deer Lake Airport",-57.3913993835449,49.2108001708984,-79.6248,43.6777,"<b>YYZ - YDF; Airline: Air Canada; Distance: 1120; Flight Time: 02:44Hrs</b>"
"268","YEG","YYZ","Air Canada",1669,"03:50","Edmonton International Airport",-113.580001831,53.3097000122,-79.6248,43.6777,"<b>YYZ - YEG; Airline: Air Canada; Distance: 1669; Flight Time: 03:50Hrs</b>"
"270","YFC","YYZ","Air Canada",658,"01:48","Fredericton Airport",-66.5372009277344,45.8689002990723,-79.6248,43.6777,"<b>YYZ - YFC; Airline: Air Canada; Distance: 658; Flight Time: 01:48Hrs</b>"
"271","YGK","YYZ","Air Canada",155,"00:48","Kingston Norman Rogers Airport",-76.5969009399414,44.2252998352051,-79.6248,43.6777,"<b>YYZ - YGK; Airline: Air Canada; Distance: 155; Flight Time: 00:48Hrs</b>"
